First Lan, Lon: 43.722971,11.202176
TIME: 18:50:35, LAT: 40,8874899850858, LON: 12,8840567702363
TIME: 18:50:40, LAT: 40,8753581125816, LON: 12,880409193885
TIME: 18:50:45, LAT: 40,8671220432119, LON: 12,8862135999082
TIME: 18:50:52, LAT: 40,8502990821709, LON: 12,8734699237
TIME: 18:50:57, LAT: 40,838927055352, LON: 12,8742143577928
TIME: 18:51:02, LAT: 40,8266776924562, LON: 12,8726041408311
TIME: 18:51:08, LAT: 40,8128402319234, LON: 12,8666841180487
TIME: 18:51:14, LAT: 40,802809379252, LON: 12,8707768054447
TIME: 18:51:19, LAT: 40,7951268111546, LON: 12,878122843136
TIME: 18:51:25, LAT: 40,7835040947531, LON: 12,8779093734731
TIME: 18:51:30, LAT: 40,7688561034353, LON: 12,8693024085964
TIME: 18:51:36, LAT: 40,7601938321054, LON: 12,8771293353263
TIME: 18:51:42, LAT: 40,7448113562081, LON: 12,8660704392368
TIME: 18:51:47, LAT: 40,7360763469403, LON: 12,8737922903353
TIME: 18:51:52, LAT: 40,7259387955757, LON: 12,8774494936747
TIME: 18:51:58, LAT: 40,7120699893339, LON: 12,8702551587417
TIME: 18:52:04, LAT: 40,7003248135214, LON: 12,869098131002
TIME: 18:52:09, LAT: 40,6908384078233, LON: 12,8746093182574
TIME: 18:52:14, LAT: 40,6767986334058, LON: 12,8664204395116
TIME: 18:52:21, LAT: 40,6658554900841, LON: 12,8674747117868
TIME: 18:52:26, LAT: 40,6554673557218, LON: 12,8702080601803
TIME: 18:52:31, LAT: 40,6452138939005, LON: 12,8733446498506
TIME: 18:52:38, LAT: 40,6319816382284, LON: 12,867080489511
TIME: 18:52:43, LAT: 40,6201377954678, LON: 12,865088878593
TIME: 18:52:54, LAT: 40,5977067706076, LON: 12,8685754865846
TIME: 18:53:05, LAT: 40,5738036610697, LON: 12,8671487133544
TIME: 18:53:10, LAT: 40,5663039282984, LON: 12,8792141183318
TIME: 18:53:16, LAT: 40,5545168958278, LON: 12,8771469837454
TIME: 18:53:22, LAT: 40,5423296296356, LON: 12,8773805054162
TIME: 18:53:27, LAT: 40,529665957759, LON: 12,8721764790117
TIME: 18:53:33, LAT: 40,5174445837726, LON: 12,8721476309788
TIME: 18:53:38, LAT: 40,5086161095384, LON: 12,8799379096411
TIME: 18:53:44, LAT: 40,4949433329612, LON: 12,874847743205
TIME: 18:53:50, LAT: 40,4822428871332, LON: 12,8690946663963
TIME: 18:53:55, LAT: 40,4706895064722, LON: 12,8712279576429
TIME: 18:54:00, LAT: 40,4595379301439, LON: 12,8708228301868
TIME: 18:54:07, LAT: 40,4525843599299, LON: 12,8892701107135
TIME: 18:54:12, LAT: 40,4390889195065, LON: 12,8805582396743
TIME: 18:54:17, LAT: 40,4270373751738, LON: 12,8768284231116
TIME: 18:54:22, LAT: 40,4147129132138, LON: 12,8760821545983
TIME: 18:54:29, LAT: 40,4025274922977, LON: 12,8757446754012
TIME: 18:54:34, LAT: 40,3957949141894, LON: 12,8914743203385
TIME: 18:54:39, LAT: 40,3813830453324, LON: 12,8788147093318
TIME: 18:54:45, LAT: 40,369885242969, LON: 12,8809732479108
TIME: 18:54:51, LAT: 40,3600892379121, LON: 12,8854074270809
TIME: 18:54:56, LAT: 40,3432836677719, LON: 12,8670685880489
TIME: 18:55:02, LAT: 40,3348764039212, LON: 12,8769297076676
TIME: 18:55:07, LAT: 40,3249346950982, LON: 12,8850390561281
TIME: 18:55:13, LAT: 40,3158418246358, LON: 12,892182406254
TIME: 18:55:19, LAT: 40,3019725995721, LON: 12,8850259792573
TIME: 18:55:24, LAT: 40,2905422745307, LON: 12,8830047833218
TIME: 18:55:29, LAT: 40,2789882251223, LON: 12,8847819177081
TIME: 18:55:36, LAT: 40,2675352452132, LON: 12,8825709078204
TIME: 18:55:41, LAT: 40,2599211521795, LON: 12,9000485594959
TIME: 18:55:46, LAT: 40,2468271155798, LON: 12,8913249339625
TIME: 18:55:53, LAT: 40,2321961310961, LON: 12,8804652615867
TIME: 18:55:58, LAT: 40,2198775581892, LON: 12,8789361732804
TIME: 18:56:03, LAT: 40,2152715328471, LON: 12,9046537099338
TIME: 18:56:08, LAT: 40,2044320874605, LON: 12,9092291730688
TIME: 18:56:15, LAT: 40,1913234054255, LON: 12,9046615274036
TIME: 18:56:20, LAT: 40,1826594885493, LON: 12,9224836469212
TIME: 18:56:25, LAT: 40,1622285172243, LON: 12,8874743737039
TIME: 18:56:31, LAT: 40,1545810972972, LON: 12,9055235355207
TIME: 18:56:37, LAT: 40,1468942653264, LON: 12,9231206268206
TIME: 18:56:42, LAT: 40,1294344117323, LON: 12,9046745039711
TIME: 18:56:48, LAT: 40,1200309175094, LON: 12,9153803353227
TIME: 18:56:53, LAT: 40,1067176143294, LON: 12,9095481664567
TIME: 18:56:59, LAT: 40,0940613499434, LON: 12,9110169688388
TIME: 18:57:04, LAT: 40,0863742724871, LON: 12,9289675306632
TIME: 18:57:10, LAT: 40,0698437523927, LON: 12,9091786367926
TIME: 18:57:15, LAT: 40,0595959359292, LON: 12,9210457330875
TIME: 18:57:21, LAT: 40,0469949591041, LON: 12,9180505953525
TIME: 18:57:27, LAT: 40,038326275796, LON: 12,9366920458716
TIME: 18:57:32, LAT: 40,0299406432477, LON: 12,9517182280907
TIME: 18:57:37, LAT: 40,0172637284499, LON: 12,9531430840345
TIME: 18:57:44, LAT: 40,0013125348186, LON: 12,9357700112127
TIME: 18:57:49, LAT: 39,9911282402665, LON: 12,9479052951786
TIME: 18:57:54, LAT: 39,9810186630519, LON: 12,9556055862323
TIME: 18:58:00, LAT: 39,9665614157599, LON: 12,9492327838527
TIME: 18:58:06, LAT: 39,9565909848884, LON: 12,9576481718792
TIME: 18:58:11, LAT: 39,9472822402799, LON: 12,9688826941454
TIME: 18:58:17, LAT: 39,9337524718922, LON: 12,9665401846378
TIME: 18:58:22, LAT: 39,9210441933706, LON: 12,9629503696134
TIME: 18:58:28, LAT: 39,9057340918415, LON: 12,9525190254004
TIME: 18:58:33, LAT: 39,9008447429344, LON: 12,9832371524225
TIME: 18:58:39, LAT: 39,8924870849903, LON: 13,0030368811676
TIME: 18:58:45, LAT: 39,8710864067682, LON: 12,9616139440643
TIME: 18:58:50, LAT: 39,8696984798978, LON: 13,0121286871927
TIME: 18:58:56, LAT: 39,8560349159467, LON: 13,0047249484881
TIME: 18:59:01, LAT: 39,8397172127595, LON: 12,9901883662984
TIME: 18:59:07, LAT: 39,8287908011591, LON: 12,9943585327956
TIME: 18:59:13, LAT: 39,8196028640622, LON: 13,0108907794821
TIME: 18:59:18, LAT: 39,80322260395, LON: 12,9910159185035
TIME: 18:59:23, LAT: 39,7921321755867, LON: 12,9993119109692
TIME: 18:59:30, LAT: 39,7848019761048, LON: 13,0194153119337
TIME: 18:59:35, LAT: 39,7692399954325, LON: 13,0079351880716
TIME: 18:59:40, LAT: 39,7593260975699, LON: 13,0166767858304
Last Lan, Lon: 39.746478,13.012274
TIME: 18:59:45, LAT: 39,7464780039365, LON: 13,0122742301231
Total path: 371
